doctor_id,doctor_name,department_id,specialization,experience_years,employment_type
2001,Dr_2001,102,Cardiology,8.0,Full-Time
2002,Dr_2002,107,Dermatology,1.0,Part-Time
2003,Dr_2003,103,Orthopedics,8.0,Full-Time
2004,Dr_2004,101,Emergency Medicine,,Full-Time
2005,Dr_2005,106,General Medicine,21.0,Full-Time
2006,Dr_2006,106,General Medicine,5.0,Full-Time
2007,Dr_2007,106,General Medicine,1.0,Full-Time
2008,Dr_2008,105,Pediatrics,21.0,Full-Time
2009,Dr_2009,105,Pediatrics,2.0,Full-Time
2010,Dr_2010,104,Neurology,3.0,Full-Time
2011,Dr_2011,108,Gynecology,16.0,Full-Time
2012,Dr_2012,106,General Medicine,1.0,Full-Time
2013,Dr_2013,105,Pediatrics,15.0,Full-Time
2014,Dr_2014,105,Pediatrics,,Full-Time
2015,Dr_2015,103,Orthopedics,2.0,Full-Time
2016,Dr_2016,107,Dermatology,15.0,Part-Time
2017,Dr_2017,106,General Medicine,1.0,Full-Time
2018,Dr_2018,104,Neurology,20.0,Full-Time
2019,Dr_2019,101,Emergency Medicine,20.0,Full-Time
2020,Dr_2020,102,Cardiology,,Full-Time
2021,Dr_2021,108,Gynecology,21.0,Part-Time
2022,Dr_2022,101,Emergency Medicine,4.0,Full-Time
2023,Dr_2023,108,Gynecology,20.0,Full-Time
2024,Dr_2024,108,Gynecology,3.0,Full-Time
2025,Dr_2025,105,Pediatrics,6.0,Part-Time
2026,Dr_2026,102,Cardiology,24.0,Full-Time
2027,Dr_2027,101,Emergency Medicine,6.0,Full-Time
2028,Dr_2028,107,Dermatology,15.0,Full-Time
2029,Dr_2029,102,Cardiology,8.0,Part-Time
2030,Dr_2030,105,Pediatrics,13.0,Full-Time
2031,Dr_2031,104,Neurology,24.0,Full-Time
2032,Dr_2032,101,Emergency Medicine,17.0,Full-Time
2033,Dr_2033,105,Pediatrics,,Contract
2034,Dr_2034,102,Cardiology,22.0,Part-Time
2035,Dr_2035,103,Orthopedics,2.0,Full-Time
2036,Dr_2036,102,Cardiology,6.0,Part-Time
2037,Dr_2037,105,Pediatrics,18.0,Full-Time
2038,Dr_2038,108,Gynecology,3.0,Full-Time
2039,Dr_2039,108,Gynecology,14.0,Full-Time
2040,Dr_2040,106,General Medicine,23.0,Full-Time
2041,Dr_2041,105,Pediatrics,18.0,Full-Time
2042,Dr_2042,102,Cardiology,22.0,Full-Time
2043,Dr_2043,108,Gynecology,4.0,Contract
2044,Dr_2044,106,General Medicine,20.0,Contract
2045,Dr_2045,107,Dermatology,9.0,Contract
2046,Dr_2046,107,Dermatology,4.0,Contract
2047,Dr_2047,102,Cardiology,2.0,Full-Time
2048,Dr_2048,101,Emergency Medicine,15.0,Part-Time
2049,Dr_2049,106,General Medicine,5.0,Full-Time
2050,Dr_2050,101,Emergency Medicine,7.0,Full-Time
2051,Dr_2051,108,Gynecology,23.0,Part-Time
2052,Dr_2052,104,Neurology,3.0,Full-Time
2053,Dr_2053,105,Pediatrics,1.0,Full-Time
2054,Dr_2054,102,Cardiology,23.0,Contract
2055,Dr_2055,106,General Medicine,23.0,Full-Time
2056,Dr_2056,102,Cardiology,1.0,Full-Time
2057,Dr_2057,101,Emergency Medicine,13.0,Full-Time
2058,Dr_2058,102,Cardiology,9.0,Full-Time
2059,Dr_2059,104,Neurology,17.0,Full-Time
2060,Dr_2060,103,Orthopedics,23.0,Full-Time
2061,Dr_2061,104,Neurology,12.0,Full-Time
2062,Dr_2062,101,Emergency Medicine,2.0,Contract
2063,Dr_2063,108,Gynecology,5.0,Full-Time
2064,Dr_2064,108,Gynecology,11.0,Full-Time
2065,Dr_2065,104,Neurology,18.0,Part-Time
2066,Dr_2066,102,Cardiology,22.0,Full-Time
2067,Dr_2067,107,Dermatology,21.0,Part-Time
2068,Dr_2068,101,Emergency Medicine,7.0,Full-Time
2069,Dr_2069,106,General Medicine,22.0,Full-Time
2070,Dr_2070,106,General Medicine,20.0,Full-Time
2071,Dr_2071,103,Orthopedics,11.0,Full-Time
2072,Dr_2072,107,Dermatology,10.0,Full-Time
2073,Dr_2073,101,Emergency Medicine,24.0,Full-Time
2074,Dr_2074,108,Gynecology,1.0,Full-Time
2075,Dr_2075,104,Neurology,8.0,Part-Time
2076,Dr_2076,104,Neurology,1.0,Full-Time
2077,Dr_2077,106,General Medicine,9.0,Contract
2078,Dr_2078,105,Pediatrics,,Full-Time
2079,Dr_2079,104,Neurology,8.0,Contract
2080,Dr_2080,107,Dermatology,6.0,Contract
